,height,weight,max_grade,years_climbing,age,sex
316,170,63,57,25,39.0,0
317,0,0,46,2017,,0
318,182,83,59,20,34.0,0
319,0,63,55,22,45.0,0
320,186,83,46,27,53.0,0
321,173,63,53,21,37.0,0
322,174,0,59,18,39.0,0
323,0,0,33,2017,,0
324,160,68,59,23,41.0,0
325,145,48,64,21,40.0,1
326,0,0,29,2017,,0
327,170,63,68,31,43.0,0
328,0,0,36,17,,0
329,0,0,51,2017,,0
330,0,0,62,2017,,0
331,0,0,59,17,,0
332,166,0,55,18,,0
333,186,73,51,19,46.0,0
334,0,73,46,21,,0
335,0,63,49,19,33.0,0
336,185,78,51,24,38.0,0
337,170,58,55,17,36.0,0
338,162,53,57,23,44.0,0
339,173,63,59,17,41.0,0
340,0,0,53,2017,,0
341,0,0,57,24,38.0,0
342,0,0,46,2017,,0
343,186,73,59,20,37.0,0
344,178,73,66,21,,0
345,0,0,29,2017,,0
346,0,0,49,21,,0
347,0,0,44,2017,,0
348,190,73,59,25,,0
349,177,73,64,35,51.0,0
350,177,63,57,26,46.0,0
351,0,0,59,17,,0
352,0,63,59,24,,0
353,183,73,55,18,36.0,0
354,184,0,64,23,32.0,0
355,0,0,49,29,46.0,0
356,187,78,57,21,,0
357,189,73,62,32,37.0,0
358,183,68,55,38,56.0,0
359,184,78,59,24,44.0,0
360,172,68,59,32,52.0,0
361,180,68,55,20,42.0,0
362,0,0,64,2017,,0
363,180,73,51,27,42.0,0
364,190,73,53,17,,0
365,179,73,57,22,41.0,0
366,189,78,62,23,40.0,0
367,173,78,57,31,46.0,0
368,165,0,53,19,38.0,0
369,0,0,57,17,,0
370,0,0,62,17,,0
371,0,0,55,17,,0
372,176,68,62,28,44.0,0
373,173,73,57,19,41.0,0
374,186,73,44,21,46.0,0
375,184,0,59,21,46.0,0
376,178,73,31,28,47.0,0
377,0,0,59,29,,0
378,0,0,49,2017,,0
379,165,63,59,22,43.0,0
380,185,73,53,19,36.0,0
381,172,63,42,17,64.0,0
382,175,68,53,26,43.0,0
383,192,83,51,23,15.0,0
384,178,68,62,27,38.0,0
385,170,68,57,21,37.0,0
386,178,73,68,20,35.0,0
387,0,0,53,22,45.0,1
388,0,0,29,2017,,0
389,178,63,64,23,40.0,0
390,0,0,59,17,,0
391,0,0,51,17,,0
392,0,0,59,19,,0
393,175,73,64,27,35.0,0
394,0,0,49,2017,,0
395,0,0,51,2017,,0
396,186,0,51,24,48.0,0
397,169,63,55,19,,0
398,186,78,51,23,45.0,0
399,0,0,46,17,,0
400,175,63,53,26,44.0,0
401,180,93,21,17,,0
402,0,0,46,2017,,0
403,175,68,62,20,35.0,0
404,0,0,57,2017,,0
405,177,68,51,17,36.0,0
406,181,73,49,38,50.0,0
407,0,0,44,2017,,0
408,190,78,53,18,,0
409,0,0,55,19,37.0,0
410,0,0,49,17,,1
411,0,0,55,18,32.0,0
412,178,63,38,17,,0
413,0,0,59,19,34.0,0
414,156,48,53,17,44.0,1
415,5,73,59,26,50.0,0
416,167,53,55,18,44.0,1
417,172,83,40,17,40.0,0
