,height,weight,max_grade,years_climbing,age,sex
41,184.0,78.0,55.0,17.0,42.0,0.0
42,182.0,83.0,59.0,31.0,46.0,0.0
43,194.0,78.0,55.0,24.0,48.0,0.0
44,174.0,73.0,66.0,17.0,45.0,1.0
45,180.0,73.0,66.0,27.0,48.0,0.0
46,179.0,68.0,64.0,23.0,42.0,0.0
47,187.0,73.0,59.0,22.0,39.0,0.0
48,190.0,83.0,62.0,18.0,33.0,0.0
49,180.0,58.0,55.0,18.0,32.0,0.0
50,173.0,73.0,64.0,26.0,45.0,0.0
51,172.0,58.0,51.0,17.0,42.0,0.0
52,165.0,63.0,55.0,19.0,42.0,0.0
53,178.0,68.0,53.0,18.0,38.0,0.0
54,169.0,58.0,66.0,43.0,46.0,0.0
55,194.0,69.66666666666667,57.0,30.0,31.333333333333332,0.0
56,170.0,68.0,59.0,27.0,47.0,0.0
57,175.33333333333334,68.0,49.0,23.0,40.0,0.0
58,180.0,100.0,49.0,17.0,40.666666666666664,0.0
59,177.0,78.0,59.0,20.0,35.0,0.0
60,195.0,83.0,62.0,25.0,46.0,0.0
61,165.0,63.0,59.0,21.0,39.0,0.0
62,185.0,68.0,62.0,29.0,44.0,0.0
63,193.0,83.0,66.0,23.0,37.0,0.0
64,174.0,73.0,62.0,22.0,32.0,0.0
65,189.0,78.0,62.0,20.0,39.666666666666664,0.0
66,178.0,68.0,55.0,20.0,44.0,0.0
67,172.0,68.0,44.0,17.0,40.333333333333336,0.0
68,191.0,88.0,42.0,17.0,36.0,0.0
69,167.0,53.0,49.0,21.0,39.0,0.0
70,181.33333333333334,71.33333333333333,64.0,28.0,43.0,0.0
71,178.0,63.0,70.0,29.0,40.0,0.0
72,184.0,68.0,59.0,27.0,44.0,0.0
73,180.0,73.0,64.0,22.0,38.0,0.0
74,182.0,83.0,55.0,25.0,35.666666666666664,0.0
75,173.0,63.0,53.0,26.0,51.0,0.0
76,176.0,63.0,49.0,20.0,38.0,0.0
77,168.0,98.0,59.0,22.0,45.0,0.0
78,182.0,78.0,62.0,22.0,43.0,0.0
79,160.0,58.0,51.0,19.0,46.0,1.0
80,175.33333333333334,66.33333333333333,59.0,17.0,37.0,0.0
81,165.0,53.0,64.0,35.0,51.0,0.0
82,178.0,73.0,64.0,24.0,42.0,0.0
83,186.0,63.0,49.0,17.0,31.0,0.0
84,175.0,64.66666666666667,62.0,29.0,35.0,0.0
85,175.0,68.0,66.0,32.0,39.0,0.0
86,197.0,78.0,59.0,21.0,36.0,0.0
87,187.0,88.0,72.0,33.0,46.0,0.0
88,186.0,68.0,64.0,31.0,48.0,0.0
89,173.0,53.0,62.0,24.0,41.0,0.0
90,178.0,73.0,62.0,40.0,56.0,0.0
91,175.0,63.0,51.0,26.0,29.0,0.0
92,180.0,73.0,55.0,27.0,45.0,0.0
93,178.66666666666666,68.0,64.0,25.0,36.0,0.0
